Source,Target,Type,ID,Label,Weight,Level
http://childrensvisiontests.co.uk/,http://www.childrensvisiontests.co.uk/,Directed,1,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/,Directed,2,,1,secondary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/blog/,Directed,3,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/patches/,Directed,4,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/otherproducts/,Directed,5,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/instructions-videos/,Directed,6,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/faq/,Directed,7,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/about/,Directed,8,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/contact/,Directed,9,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/checkout/,Directed,10,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/wp-content/themes/kayfunpatch/otherproducts/,Directed,11,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/terms/,Directed,12,,1,primary
http://childrensvisiontests.co.uk/,http://childrensvisiontests.co.uk/legal/,Directed,13,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://www.childrensvisiontests.co.uk/,Directed,14,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/,Directed,15,,1,secondary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/blog/,Directed,16,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/patches/,Directed,17,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/otherproducts/,Directed,18,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/instructions-videos/,Directed,19,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/faq/,Directed,20,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/about/,Directed,21,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/contact/,Directed,22,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/checkout/,Directed,23,,1,secondary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/terms/,Directed,24,,1,primary
http://childrensvisiontests.co.uk/checkout/,http://childrensvisiontests.co.uk/legal/,Directed,25,,1,primary
http://childrensvisiontests.co.uk/about/,http://www.childrensvisiontests.co.uk/,Directed,26,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/,Directed,27,,1,secondary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/blog/,Directed,28,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/patches/,Directed,29,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/otherproducts/,Directed,30,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/instructions-videos/,Directed,31,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/faq/,Directed,32,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/about/,Directed,33,,1,secondary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/contact/,Directed,34,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/checkout/,Directed,35,,1,secondary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/terms/,Directed,36,,1,primary
http://childrensvisiontests.co.uk/about/,http://childrensvisiontests.co.uk/legal/,Directed,37,,1,primary
http://childrensvisiontests.co.uk/contact/,http://www.childrensvisiontests.co.uk/,Directed,38,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/,Directed,39,,1,secondary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/blog/,Directed,40,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/patches/,Directed,41,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/otherproducts/,Directed,42,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/instructions-videos/,Directed,43,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/faq/,Directed,44,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/about/,Directed,45,,1,secondary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/contact/,Directed,46,,1,secondary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/checkout/,Directed,47,,1,secondary
http://childrensvisiontests.co.uk/contact/,http://www.childrensvisiontests.co.uk/,Directed,48,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/terms/,Directed,49,,1,primary
http://childrensvisiontests.co.uk/contact/,http://childrensvisiontests.co.uk/legal/,Directed,50,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://www.childrensvisiontests.co.uk/,Directed,51,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/,Directed,52,,1,secondary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/blog/,Directed,53,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/patches/,Directed,54,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/otherproducts/,Directed,55,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/instructions-videos/,Directed,56,,1,secondary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/faq/,Directed,57,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/about/,Directed,58,,1,secondary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/contact/,Directed,59,,1,secondary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/checkout/,Directed,60,,1,secondary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/terms/,Directed,61,,1,primary
http://childrensvisiontests.co.uk/instructions-videos/,http://childrensvisiontests.co.uk/legal/,Directed,62,,1,primary
http://childrensvisiontests.co.uk/patches/,http://www.childrensvisiontests.co.uk/,Directed,63,,1,primary
http://childrensvisiontests.co.uk/patches/,http://childrensvisiontests.co.uk/,Directed,64,,1,secondary
